size,Variance_Basic,Variance_Opt,MinMax_Basic,MinMax_Opt,GroupBy_Basic,GroupBy_Opt
10000,0.0010894001927226782,0.00080020846799016,0.00011301683261990547,0.00022438322193920612,0.0003440666012465954,0.00042829141020774843
50000,0.003714658599346876,0.002786116534844041,0.0005746334325522184,0.0011372254230082035,0.0016220750752836467,0.0022080084308981895
100000,0.006817408371716738,0.005294033559039235,0.0011177332140505313,0.0021985086146742105,0.003288108156993985,0.0042778085451573135
200000,0.012219041492789984,0.009684625174850225,0.002308483421802521,0.004439783422276378,0.006946974992752075,0.008543675020337104
500000,0.029941558232530953,0.023682991787791253,0.0056748749688267704,0.01147293341346085,0.019395666476339102,0.02105189161375165
