nodes,BFS,Naive,Dijkstra,A*,Bellman-Ford
5,5.902955308556557e-06,9.187031537294388e-06,6.638932973146439e-06,4.88866741458575e-06,1.0236011197169622e-05
6,3.25031578540802e-06,1.5229452401399612e-05,5.236050734917323e-06,5.194684490561485e-06,9.47240429619948e-06
7,2.9999452332655587e-06,3.0291383154690266e-05,5.9302741040786105e-06,6.222010900576909e-06,1.1555229624112448e-05
8,2.305721864104271e-06,4.6833534725010395e-05,5.638614917794864e-06,5.833028505245845e-06,1.4652653286854426e-05
9,1.9307093073924384e-06,6.320851389318705e-05,6.597721949219704e-06,6.722674394647281e-06,1.7624969283739727e-05
10,2.903010075290998e-06,6.352050695568323e-05,6.319178889195125e-06,6.6667174299558e-06,2.122196989754836e-05
